,Mouse,Sess,Day,Period,numred,cre,sAll,sAll_std,All
0,0761,0761_BaselineA,0,Healthy,1,CHI,-0.00016311691072473948,0.003625385076904316,0.02111829674589173
1,0761,0761_BaselineL,0,Healthy,1,CHI,6.245683664148092e-05,0.002732326120975421,0.05667779731135814
2,0761,0761_BaselineS,0,Healthy,1,CHI,2.6685433860466955e-05,0.0014692644373501427,0.061640260320067974
3,1208,1208_BaselineA,0,Healthy,0,CHI,1.671731335538257e-06,0.00016195083183778738,0.020980511830929638
4,1208,1208_BaselineL,0,Healthy,2,CHI,-5.2354447667556784e-08,0.00013924139114263143,0.018071544992254277
5,1208,1208_BaselineS,0,Healthy,1,CHI,-4.475074158474957e-06,0.00020865372170562267,0.016283463636457836
6,1222,1222_BaselineA,0,Healthy,0,CHI,5.822137680533769e-05,0.0012510619984350169,0.0426121873538783
7,1222,1222_BaselineL,0,Healthy,1,CHI,-4.975440904057465e-06,0.00046825270827194977,0.027402837358447767
8,1222,1222_BaselineS,0,Healthy,1,CHI,8.778532468915464e-06,0.0004695088549934402,0.0449123461931744
9,1231,1231_BaselineA,0,Healthy,2,CHI,8.720266230842998e-06,0.00024439978060457557,0.010785868091402601
10,1231,1231_BaselineL,0,Healthy,3,CHI,-3.5906125477679394e-06,0.00019831606259770567,0.008688497610636997
11,1231,1231_BaselineS,0,Healthy,2,CHI,-6.9760493634894345e-06,0.00025691043761407855,0.009031607772661336
12,1236,1236_BaselineA,0,Healthy,2,PV,-1.4411362352735358e-05,0.00032345675975504264,0.057015068214262235
13,1236,1236_BaselineL,0,Healthy,1,PV,7.888730020765275e-06,0.0009518778005719851,0.019968621386776218
14,1236,1236_BaselineS,0,Healthy,2,PV,2.9761804522507707e-06,0.00031385770187247845,0.020746798942858417
15,1253,1253_BaselineA,0,Healthy,0,CHI,-1.3099491155218186e-06,0.00021316065171220937,0.019721546262596815
16,1253,1253_BaselineL,0,Healthy,1,CHI,3.652171485290081e-06,0.000164521604445228,0.018280453154481412
17,1253,1253_BaselineS,0,Healthy,0,CHI,6.453016766646497e-06,0.00013239740656869164,0.0212855662944825
18,1793,1793_BaselineA,0,Healthy,0,CHI,-5.9850319361869335e-06,0.0003172464591443549,0.03949900662929467
19,1793,1793_BaselineL,0,Healthy,4,CHI,7.129280799856321e-07,7.543009743685377e-05,0.027184797988473737
20,1793,1793_BaselineS,0,Healthy,1,CHI,-3.141051640016784e-06,0.00010065831454588195,0.02200931746761455
21,2976,2976_BaselineA,0,Healthy,0,NA,-0.00023720593047254931,0.002969966111880778,0.01573816987677374
22,2976,2976_BaselineL,0,Healthy,0,NA,3.946135171303533e-05,0.0013613667006899509,0.00892057031813174
23,2976,2976_BaselineS,0,Healthy,0,NA,-1.9629192844463967e-05,0.00045519019537325334,0.007235758094565375
24,2980,2980_BaselineA,0,Healthy,0,NA,1.5509947592363258e-06,0.0005607848867089089,0.055078943067488804
25,2980,2980_BaselineL,0,Healthy,0,NA,-4.4051750188230225e-06,0.0004304612427228363,0.09848549038173966
26,2980,2980_BaselineS,0,Healthy,0,NA,-2.348682373890633e-06,0.00036732590570371255,0.02471338444918969
27,2981,2981_BaselineA,0,Healthy,0,NA,2.145195608473562e-05,0.0004966416857516178,0.025787394984545117
28,2981,2981_BaselineL,0,Healthy,0,NA,1.4005358995257885e-05,0.00041862805093020286,0.02094664243303517
29,2981,2981_BaselineS,0,Healthy,0,NA,-1.2017212780098927e-05,0.0002307527221122041,0.03368883966894455
30,4539,4539_Baseline2A,0,Healthy,1,PV,-7.754246961599529e-07,0.00019663720193623688,0.007267788459584255
31,4539,4539_BaselineA,0,Healthy,4,PV,3.7889672324671046e-06,0.00011336549767173551,0.01519332533667443
32,4539,4539_day0,0,Healthy,2,PV,-4.4589869196782906e-07,0.00025710777783552225,0.023145732234889152
33,7584,7584_Baseline0,0,Healthy,4,PV,-1.0947175397568567e-05,0.00022025143739863072,0.017092513132176305
34,7584,7584_BaselineA,0,Healthy,1,PV,1.4179089086627399e-05,0.0018612495825527163,0.011954008733795448
35,7584,7584_day0,0,Healthy,0,PV,9.227028991160243e-06,0.0009647476228718179,0.007420621557993334
36,7909,7909_Baseline2A,0,Healthy,5,PV,3.3838353420738183e-07,8.310262310567646e-05,0.009559559881730847
37,7909,7909_BaselineA,0,Healthy,1,PV,-2.3799035010722315e-07,0.0002508956906207625,0.015971851600370995
38,7909,7909_day0,0,Healthy,4,PV,2.2472016661205956e-06,0.00042189209951473076,0.017328335540933295
39,8430,8430_BaselineA,0,Healthy,0,PV,3.031503047386843e-06,0.00025350825403839205,0.01027277575926544
40,8430,8430_BaselineL,0,Healthy,1,PV,-1.4535459727935462e-05,0.0006116874884277306,0.007825376699032233
41,8430,8430_BaselineS,0,Healthy,2,PV,-3.45363056556275e-05,0.0006756131243829089,0.004245535774006651
42,8803,8803_BaselineA,0,Healthy,1,PV,1.776803664441766e-05,0.0003868776187315476,0.023359782350105145
43,8803,8803_BaselineL,0,Healthy,1,PV,1.485116997615829e-06,0.0003247053930142394,0.058872402972434325
44,8803,8803_BaselineS,0,Healthy,1,PV,8.204067742931041e-06,0.00034027384437179843,0.06731148575730497
45,8815,8815_BaselineA,0,Healthy,4,CHI,-3.8797261662176364e-05,0.0006935488690476423,0.035219857684012694
46,8815,8815_BaselineL,0,Healthy,0,CHI,-5.659001491345411e-05,0.000964974354567349,0.03567998362681296
47,8815,8815_BaselineS,0,Healthy,5,CHI,-1.9453926421749757e-05,0.0011044421344412194,0.017717319183406067
49,0761,0761_day10,10,Day 5-12,1,CHI,2.81067816905877e-05,0.0038130467947616515,0.04220471833813505
50,0761,0761_day12,12,Day 5-12,0,CHI,-1.8888062163845858e-05,0.009430031006399785,-0.005762626046286106
51,0761,0761_day14A,14,Day 13-20,0,CHI,-0.00077620810297524,0.01650046850297707,0.17381108854317795
52,0761,0761_day19L,19,Day 13-20,3,CHI,-9.348042826515845e-05,0.005977374700830463,0.014655019431308243
53,0761,0761_day2,2,Day 1-4,0,CHI,0.0008978736486364012,0.018625214426990513,-0.002105828536058627
54,0761,0761_day31A,31,One Month,0,CHI,0.00015648700290379357,0.003006936048156622,0.10447021323171489
55,0761,0761_day35L,35,One Month,2,CHI,1.8556016494184758e-06,0.006180306935620077,0.1554676128979944
56,0761,0761_day4,4,Day 1-4,1,CHI,8.557086972906735e-05,0.003978203083115841,0.032189476209902285
57,0761,0761_day6,6,Day 5-12,1,CHI,0.00014059852209834923,0.0051735103806776275,0.01766288003315031
58,0761,0761_day8,8,Day 5-12,1,CHI,8.93336117395568e-06,0.0026786488001111918,0.07139918671781754
59,1208,1208_day10,10,Day 5-12,2,CHI,-8.384057386674883e-06,0.0003183110638869855,0.028096703426507136
60,1208,1208_day12,12,Day 5-12,2,CHI,2.6384861827105534e-06,0.0001937229594800889,0.009809232710695105
61,1208,1208_day14,14,Day 13-20,1,CHI,4.538164412870501e-06,0.00023797766995373672,0.013425502574073087
62,1208,1208_day15A,15,Day 13-20,1,CHI,-1.5847849081534743e-05,0.0003047568805813172,0.011622085302460158
63,1208,1208_day19L,19,Day 13-20,2,CHI,1.916273328509063e-05,0.0005576946009166091,0.0024070220164642115
64,1208,1208_day2,2,Day 1-4,1,CHI,3.989426066034845e-06,0.00027309592268937103,0.01480621883985026
65,1208,1208_day30A,30,One Month,1,CHI,-2.1704699822430997e-06,0.00029325074380547695,0.012399277211357066
66,1208,1208_day34L,34,One Month,2,CHI,1.4968025480286942e-06,0.0002805365743637622,0.032515271900264396
67,1208,1208_day4,4,Day 1-4,1,CHI,1.975622873720416e-06,0.0002376727324858751,0.016571138753366462
68,1208,1208_day6,6,Day 5-12,2,CHI,1.848744415294086e-05,0.00023448016330622674,0.01146883588561434
69,1208,1208_day8,8,Day 5-12,2,CHI,1.9299506850099898e-05,0.0003315003694959481,0.019707969376534445
70,1222,1222_day11,11,Day 5-12,0,CHI,-0.0001317578088679642,0.0036433038440386433,0.013676864780156102
71,1222,1222_day13,13,Day 13-20,0,CHI,3.686418840989801e-05,0.0016827757440625274,0.004100474418231468
72,1222,1222_day15A,15,Day 13-20,1,CHI,-7.643157889538784e-06,0.0019390241898438985,0.009944369584840997
73,1222,1222_day20L,20,Day 13-20,0,CHI,-2.190729678664382e-06,0.0008571701926107976,0.013794380216775717
74,1222,1222_day3,3,Day 1-4,0,CHI,0.00021007832821222293,0.004270135837710866,0.04436991234904823
75,1222,1222_day32A,32,One Month,0,CHI,-0.00015273441304622306,0.01173507106560363,0.002203721841975225
76,1222,1222_day36L,36,One Month,0,CHI,-4.778897583948004e-05,0.0013151855580232313,0.03589148831723255
77,1222,1222_day5,5,Day 5-12,0,CHI,-0.0003735654052946656,0.0050002306328455325,-0.0005317657014870745
78,1222,1222_day7,7,Day 5-12,0,CHI,-0.00026668423132405545,0.004092417991110708,0.004680652787684531
79,1222,1222_day9,9,Day 5-12,0,CHI,-8.27419008003108e-07,0.002909122053341717,0.009508655359618668
80,1236,1236_day1,1,Day 1-4,2,PV,-9.571266682040278e-06,0.0005020936538687361,0.03100855096418144
81,1236,1236_day11,11,Day 5-12,1,PV,3.032627155384548e-06,0.000553782229361779,0.01520282914495509
82,1236,1236_day13,13,Day 13-20,3,PV,1.0811988911177785e-05,0.00030716752146291534,0.01978786589733972
83,1236,1236_day15A,15,Day 13-20,1,PV,-4.9302769393695696e-05,0.0006889259203644328,0.01882789585466578
84,1236,1236_day19L,19,Day 13-20,0,PV,1.184666015013834e-05,0.0005486048951311314,0.017816300013529393
85,1236,1236_day3,3,Day 1-4,1,PV,2.8094553407384984e-05,0.0007272255270627676,0.013513088557148592
86,1236,1236_day30A,30,One Month,1,PV,8.416392065583494e-06,0.00022223463905484352,0.02412836224008477
87,1236,1236_day35L,35,One Month,2,PV,6.479991002332337e-06,0.0002461480163858612,0.026989399895560352
88,1236,1236_day5,5,Day 5-12,2,PV,-1.1282399466487217e-05,0.000505421915469812,0.016268205042387747
89,1236,1236_day7,7,Day 5-12,2,PV,4.73510200754285e-06,0.0007351992835774057,0.021499965993058603
90,1236,1236_day9,9,Day 5-12,1,PV,-1.5983091045633824e-06,0.00036894946970043234,0.01982646036991841
91,1793,1793_day10,10,Day 5-12,1,CHI,2.2703646950745857e-05,0.00041176138401802405,0.026259899455935494
92,1793,1793_day12,12,Day 5-12,1,CHI,2.3744995379453796e-07,0.0003676071626282358,0.020582949396800023
93,1793,1793_day14,14,Day 13-20,1,CHI,-5.960829554647752e-06,0.0003048287351835284,0.026856836435286927
94,1793,1793_day15A,15,Day 13-20,2,CHI,6.968680454811445e-06,0.00044564128497638774,0.01736076309553242
95,1793,1793_day19L,19,Day 13-20,0,CHI,-1.6289931360747525e-07,0.0003875504270286958,0.01635799768179267
96,1793,1793_day2,2,Day 1-4,1,CHI,7.4536204283072655e-06,0.0014708628147396025,0.026723043368491222
97,1793,1793_day30A,30,One Month,0,CHI,-1.9642793443626647e-05,0.0002618242695162106,0.01869290801222561
98,1793,1793_day34L,34,One Month,0,CHI,-2.6521193858563413e-06,0.0005533563767423792,0.01150479097720574
99,1793,1793_day4,4,Day 1-4,1,CHI,6.38711653073781e-06,0.0008665890876916219,0.014222030912975914
100,1793,1793_day6,6,Day 5-12,1,CHI,-1.8077699689084507e-06,0.000634039429271628,0.016067409969730596
101,1793,1793_day8,8,Day 5-12,2,CHI,-4.142594832264323e-06,0.0005044587936707466,0.04629302123103752
102,2976,2976_day10,10,Day 5-12,0,NA,-3.2334045699890025e-05,0.0007436545589760172,0.037021219217119816
103,2976,2976_day12,12,Day 5-12,0,NA,4.7313467405619335e-05,0.0008163867668885765,0.019406456987823867
104,2976,2976_day14,14,Day 13-20,0,NA,-1.8764618463422475e-06,0.0004489645112413449,0.01549793258430592
105,2976,2976_day15A,15,Day 13-20,0,NA,1.425944204706309e-05,0.0007664061714089107,0.030264513950577696
106,2976,2976_day19L,19,Day 13-20,0,NA,-6.297234085101379e-05,0.001711012591867847,0.0076316638364311955
107,2976,2976_day2,2,Day 1-4,0,NA,2.1429979846499905e-05,0.0012619645783511204,0.025605130148618507
108,2976,2976_day30A,30,One Month,0,NA,-2.1553188979612014e-05,0.0015498349880845887,0.016506256601308462
109,2976,2976_day35L,35,One Month,0,NA,0.0001254461390466815,0.002263592987527693,0.01243519306092325
110,2976,2976_day4,4,Day 1-4,0,NA,-4.7765020462542414e-05,0.0015276088816651482,0.0320764208065245
111,2976,2976_day6,6,Day 5-12,0,NA,-3.804487359350736e-05,0.0008037335163151807,0.0266638392380339
112,2976,2976_day8,8,Day 5-12,0,NA,2.260496934492838e-05,0.0011851967168925543,0.006325418643499492
