,Day,Mouse,Period,Sess,antiClockwiseOnset,clockWiseOnset,rotOnset
0,0,0761,Healthy,0761_BaselineA,3,10,13
0,0,0761,Healthy,0761_BaselineL,3,14,17
0,0,0761,Healthy,0761_BaselineS,8,1,9
0,1,0761,Day 1-4,0761_day1,1,15,16
0,10,0761,Day 5-12,0761_day10,0,4,4
0,12,0761,Day 5-12,0761_day12,0,3,3
0,14,0761,Day 13-20,0761_day14A,2,2,4
0,19,0761,Day 13-20,0761_day19L,0,4,4
0,2,0761,Day 1-4,0761_day2,0,16,16
0,31,0761,One Month,0761_day31A,0,6,6
0,35,0761,One Month,0761_day35L,0,3,3
0,4,0761,Day 1-4,0761_day4,1,11,12
0,6,0761,Day 5-12,0761_day6,0,10,10
0,8,0761,Day 5-12,0761_day8,0,4,4
0,0,1208,Healthy,1208_BaselineA,2,6,8
0,0,1208,Healthy,1208_BaselineL,1,2,3
0,0,1208,Healthy,1208_BaselineS,1,4,5
0,10,1208,Day 5-12,1208_day10,2,16,18
0,12,1208,Day 5-12,1208_day12,1,14,15
0,14,1208,Day 13-20,1208_day14,1,13,14
0,15,1208,Day 13-20,1208_day15A,0,4,4
0,19,1208,Day 13-20,1208_day19L,0,13,13
0,2,1208,Day 1-4,1208_day2,0,10,10
0,30,1208,One Month,1208_day30A,1,10,11
0,34,1208,One Month,1208_day34L,0,22,22
0,4,1208,Day 1-4,1208_day4,2,6,8
0,6,1208,Day 5-12,1208_day6,3,8,11
0,8,1208,Day 5-12,1208_day8,1,14,15
0,0,1222,Healthy,1222_BaselineA,5,1,6
0,0,1222,Healthy,1222_BaselineL,6,3,9
0,0,1222,Healthy,1222_BaselineS,2,5,7
0,11,1222,Day 5-12,1222_day11,2,0,2
0,13,1222,Day 13-20,1222_day13,1,4,5
0,15,1222,Day 13-20,1222_day15A,1,1,2
0,2,1222,Day 1-4,1222_day2,2,7,9
0,20,1222,Day 13-20,1222_day20L,2,0,2
0,3,1222,Day 1-4,1222_day3,1,7,8
0,32,1222,One Month,1222_day32A,2,11,13
0,36,1222,One Month,1222_day36L,0,10,10
0,5,1222,Day 5-12,1222_day5,2,0,2
0,7,1222,Day 5-12,1222_day7,1,2,3
0,9,1222,Day 5-12,1222_day9,3,4,7
0,0,1231,Healthy,1231_BaselineA,7,2,9
0,0,1231,Healthy,1231_BaselineL,16,0,16
0,0,1231,Healthy,1231_BaselineS,8,0,8
0,0,1236,Healthy,1236_BaselineA,5,13,18
0,0,1236,Healthy,1236_BaselineL,12,1,13
0,0,1236,Healthy,1236_BaselineS,2,13,15
0,1,1236,Day 1-4,1236_day1,6,8,14
0,11,1236,Day 5-12,1236_day11,3,10,13
0,13,1236,Day 13-20,1236_day13,0,11,11
0,15,1236,Day 13-20,1236_day15A,8,7,15
0,19,1236,Day 13-20,1236_day19L,4,7,11
0,3,1236,Day 1-4,1236_day3,12,9,21
0,30,1236,One Month,1236_day30A,5,15,20
0,35,1236,One Month,1236_day35L,8,11,19
0,5,1236,Day 5-12,1236_day5,4,10,14
0,7,1236,Day 5-12,1236_day7,8,2,10
0,9,1236,Day 5-12,1236_day9,18,5,23
0,0,1253,Healthy,1253_BaselineA,3,2,5
0,0,1253,Healthy,1253_BaselineL,2,2,4
0,0,1253,Healthy,1253_BaselineS,2,1,3
0,0,1793,Healthy,1793_BaselineA,0,7,7
0,0,1793,Healthy,1793_BaselineL,1,3,4
0,0,1793,Healthy,1793_BaselineS,2,1,3
0,10,1793,Day 5-12,1793_day10,1,6,7
0,12,1793,Day 5-12,1793_day12,0,7,7
0,14,1793,Day 13-20,1793_day14,0,4,4
0,15,1793,Day 13-20,1793_day15A,4,2,6
0,19,1793,Day 13-20,1793_day19L,8,3,11
0,2,1793,Day 1-4,1793_day2,1,11,12
0,30,1793,One Month,1793_day30A,15,2,17
0,34,1793,One Month,1793_day34L,6,2,8
0,4,1793,Day 1-4,1793_day4,5,9,14
0,6,1793,Day 5-12,1793_day6,6,3,9
0,8,1793,Day 5-12,1793_day8,5,9,14
0,0,2976,Healthy,2976_BaselineA,6,0,6
0,0,2976,Healthy,2976_BaselineL,4,2,6
0,0,2976,Healthy,2976_BaselineS,5,4,9
0,10,2976,Day 5-12,2976_day10,2,2,4
0,12,2976,Day 5-12,2976_day12,1,5,6
0,14,2976,Day 13-20,2976_day14,0,4,4
0,15,2976,Day 13-20,2976_day15A,2,2,4
0,19,2976,Day 13-20,2976_day19L,3,4,7
0,2,2976,Day 1-4,2976_day2,4,3,7
0,30,2976,One Month,2976_day30A,2,4,6
0,35,2976,One Month,2976_day35L,0,4,4
0,4,2976,Day 1-4,2976_day4,7,3,10
0,6,2976,Day 5-12,2976_day6,1,3,4
0,8,2976,Day 5-12,2976_day8,0,0,0
0,0,2980,Healthy,2980_BaselineA,1,2,3
0,0,2980,Healthy,2980_BaselineL,2,9,11
0,0,2980,Healthy,2980_BaselineS,4,1,5
0,10,2980,Day 5-12,2980_day10,4,4,8
0,12,2980,Day 5-12,2980_day12,3,7,10
0,14,2980,Day 13-20,2980_day14,0,9,9
0,15,2980,Day 13-20,2980_day15A,3,0,3
0,19,2980,Day 13-20,2980_day19L,0,2,2
0,2,2980,Day 1-4,2980_day2,3,2,5
0,30,2980,One Month,2980_day30A,3,4,7
0,35,2980,One Month,2980_day35L,1,1,2
0,4,2980,Day 1-4,2980_day4,10,1,11
0,6,2980,Day 5-12,2980_day6,1,6,7
0,8,2980,Day 5-12,2980_day8,0,5,5
0,0,2981,Healthy,2981_BaselineA,9,3,12
0,0,2981,Healthy,2981_BaselineL,9,4,13
0,0,2981,Healthy,2981_BaselineS,7,2,9
0,10,2981,Day 5-12,2981_day10,1,0,1
0,12,2981,Day 5-12,2981_day12,1,0,1
0,14,2981,Day 13-20,2981_day14,5,2,7
0,15,2981,Day 13-20,2981_day15A,0,1,1
0,19,2981,Day 13-20,2981_day19L,5,6,11
0,2,2981,Day 1-4,2981_day2,8,0,8
0,30,2981,One Month,2981_day30A,3,1,4
0,35,2981,One Month,2981_day35L,9,1,10
0,4,2981,Day 1-4,2981_day4,6,1,7
0,6,2981,Day 5-12,2981_day6,1,0,1
0,8,2981,Day 5-12,2981_day8,2,0,2
0,0,4539,Healthy,4539_Baseline2A,4,3,7
0,0,4539,Healthy,4539_BaselineA,7,0,7
0,0,4539,Healthy,4539_day0,3,14,17
0,1,4539,Day 1-4,4539_day1,0,0,0
0,10,4539,Day 5-12,4539_day10,0,0,0
0,11,4539,Day 5-12,4539_day11,0,0,0
0,12,4539,Day 5-12,4539_day12,0,0,0
0,13,4539,Day 13-20,4539_day13,0,0,0
0,14,4539,Day 13-20,4539_day14,0,0,0
0,15,4539,Day 13-20,4539_day15A,6,7,13
0,2,4539,Day 1-4,4539_day2,0,0,0
0,3,4539,Day 1-4,4539_day3,0,0,0
0,30,4539,One Month,4539_day30A,19,0,19
0,4,4539,Day 1-4,4539_day4,0,0,0
0,5,4539,Day 5-12,4539_day5,0,0,0
0,6,4539,Day 5-12,4539_day6,0,0,0
0,7,4539,Day 5-12,4539_day7,0,0,0
0,8,4539,Day 5-12,4539_day8,0,0,0
0,9,4539,Day 5-12,4539_day9,0,0,0
0,0,7584,Healthy,7584_Baseline0,24,3,27
0,0,7584,Healthy,7584_BaselineA,2,19,21
0,0,7584,Healthy,7584_day0,4,23,27
0,1,7584,Day 1-4,7584_day1,0,0,0
0,10,7584,Day 5-12,7584_day10,0,0,0
0,11,7584,Day 5-12,7584_day11,0,0,0
0,12,7584,Day 5-12,7584_day12,0,0,0
0,15,7584,Day 13-20,7584_day15,0,0,0
0,2,7584,Day 1-4,7584_day2,0,0,0
0,3,7584,Day 1-4,7584_day3,0,0,0
0,30,7584,One Month,7584_day30A,11,7,18
0,4,7584,Day 1-4,7584_day4,0,0,0
0,5,7584,Day 5-12,7584_day5,0,0,0
0,6,7584,Day 5-12,7584_day6,0,0,0
0,7,7584,Day 5-12,7584_day7,0,0,0
0,8,7584,Day 5-12,7584_day8,0,0,0
0,9,7584,Day 5-12,7584_day9,0,0,0
0,0,7909,Healthy,7909_Baseline2A,1,29,30
0,0,7909,Healthy,7909_BaselineA,1,13,14
0,0,7909,Healthy,7909_day0,1,8,9
0,1,7909,Day 1-4,7909_day1,0,0,0
0,10,7909,Day 5-12,7909_day10,0,0,0
0,11,7909,Day 5-12,7909_day11,0,0,0
0,12,7909,Day 5-12,7909_day12,0,0,0
0,13,7909,Day 13-20,7909_day13,0,0,0
0,14,7909,Day 13-20,7909_day14,0,0,0
0,15,7909,Day 13-20,7909_day15A,13,8,21
0,2,7909,Day 1-4,7909_day2,0,0,0
0,3,7909,Day 1-4,7909_day3,0,0,0
0,30,7909,One Month,7909_day30A,10,4,14
0,4,7909,Day 1-4,7909_day4,0,0,0
0,5,7909,Day 5-12,7909_day5,0,0,0
0,6,7909,Day 5-12,7909_day6,0,0,0
0,7,7909,Day 5-12,7909_day7,0,0,0
0,8,7909,Day 5-12,7909_day8,0,0,0
0,9,7909,Day 5-12,7909_day9,0,0,0
0,0,8430,Healthy,8430_BaselineA,0,1,1
0,0,8430,Healthy,8430_BaselineL,1,6,7
0,0,8430,Healthy,8430_BaselineS,0,2,2
0,1,8430,Day 1-4,8430_day1,3,4,7
0,11,8430,Day 5-12,8430_day11,0,0,0
0,15,8430,Day 13-20,8430_day15A,0,3,3
0,19,8430,Day 13-20,8430_day19L,2,3,5
0,3,8430,Day 1-4,8430_day3,1,4,5
0,30,8430,One Month,8430_day30A,0,0,0
0,35,8430,One Month,8430_day35L,6,7,13
0,5,8430,Day 5-12,8430_day5,0,1,1
0,7,8430,Day 5-12,8430_day7,0,0,0
0,9,8430,Day 5-12,8430_day9,0,1,1
0,0,8803,Healthy,8803_BaselineA,1,2,3
0,0,8803,Healthy,8803_BaselineL,21,2,23
0,0,8803,Healthy,8803_BaselineS,18,4,22
